 2047,    0
 1203, 1656
 -633, 1947
-1947,  633
-1656,-1203
    0,-2047
 1656,-1203
 1947,  633
  633, 1947
-1203, 1656
-2047,    0
-1203,-1656
  633,-1947
 1947, -633
 1656, 1203
    0, 2047
-1656, 1203
-1947, -633
 -633,-1947
 1203,-1656
 2047,    0
 1203, 1656
 -633, 1947
-1947,  633
-1656,-1203
    0,-2047
 1656,-1203
 1947,  633
  633, 1947
-1203, 1656
-2047,    0
-1203,-1656
  633,-1947
 1947, -633
 1656, 1203
    0, 2047
-1656, 1203
-1947, -633
 -633,-1947
 1203,-1656
 2047,    0
 1203, 1656
 -633, 1947
-1947,  633
-1656,-1203
    0,-2047
 1656,-1203
 1947,  633
  633, 1947
-1203, 1656
-2047,    0
-1203,-1656
  633,-1947
 1947, -633
 1656, 1203
    0, 2047
-1656, 1203
-1947, -633
 -633,-1947
 1203,-1656
 2047,    0
 1203, 1656
 -633, 1947
-1947,  633
-1656,-1203
    0,-2047
 1656,-1203
 1947,  633
  633, 1947
-1203, 1656
-2047,    0
-1203,-1656
  633,-1947
 1947, -633
 1656, 1203
    0, 2047
-1656, 1203
-1947, -633
 -633,-1947
 1203,-1656
 2047,    0
 1203, 1656
 -633, 1947
-1947,  633
-1656,-1203
    0,-2047
 1656,-1203
 1947,  633
  633, 1947
-1203, 1656
-2047,    0
-1203,-1656
  633,-1947
 1947, -633
 1656, 1203
    0, 2047
-1656, 1203
-1947, -633
 -633,-1947
 1203,-1656
